acc	R1	R2
SRR19221957	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR192/057/SRR19221957/SRR19221957_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR192/057/SRR19221957/SRR19221957_2.fastq.gz
SRR19221958	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR192/058/SRR19221958/SRR19221958_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR192/058/SRR19221958/SRR19221958_2.fastq.gz
SRR19221959	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR192/059/SRR19221959/SRR19221959_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR192/059/SRR19221959/SRR19221959_2.fastq.gz
SRR19221960	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR192/060/SRR19221960/SRR19221960_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR192/060/SRR19221960/SRR19221960_2.fastq.gz
SRR19221985	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR192/085/SRR19221985/SRR19221985_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR192/085/SRR19221985/SRR19221985_2.fastq.gz
SRR19223877	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR192/077/SRR19223877/SRR19223877_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR192/077/SRR19223877/SRR19223877_2.fastq.gz
SRR19223878	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR192/078/SRR19223878/SRR19223878_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR192/078/SRR19223878/SRR19223878_2.fastq.gz
SRR19223879	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR192/079/SRR19223879/SRR19223879_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR192/079/SRR19223879/SRR19223879_2.fastq.gz
SRR19223880	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR192/080/SRR19223880/SRR19223880_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR192/080/SRR19223880/SRR19223880_2.fastq.gz
SRR19223891	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR192/091/SRR19223891/SRR19223891_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR192/091/SRR19223891/SRR19223891_2.fastq.gz
SRR19223892	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR192/092/SRR19223892/SRR19223892_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR192/092/SRR19223892/SRR19223892_2.fastq.gz
SRR19223893	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR192/093/SRR19223893/SRR19223893_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR192/093/SRR19223893/SRR19223893_2.fastq.gz
SRR19223894	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR192/094/SRR19223894/SRR19223894_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR192/094/SRR19223894/SRR19223894_2.fastq.gz
SRR19223895	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR192/095/SRR19223895/SRR19223895_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR192/095/SRR19223895/SRR19223895_2.fastq.gz
SRR19223896	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR192/096/SRR19223896/SRR19223896_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR192/096/SRR19223896/SRR19223896_2.fastq.gz
SRR19223897	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR192/097/SRR19223897/SRR19223897_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR192/097/SRR19223897/SRR19223897_2.fastq.gz
SRR19224003	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR192/003/SRR19224003/SRR19224003_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR192/003/SRR19224003/SRR19224003_2.fastq.gz
SRR19224004	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR192/004/SRR19224004/SRR19224004_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR192/004/SRR19224004/SRR19224004_2.fastq.gz
SRR19224005	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR192/005/SRR19224005/SRR19224005_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR192/005/SRR19224005/SRR19224005_2.fastq.gz
SRR19224006	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR192/006/SRR19224006/SRR19224006_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR192/006/SRR19224006/SRR19224006_2.fastq.gz
SRR19224007	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR192/007/SRR19224007/SRR19224007_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR192/007/SRR19224007/SRR19224007_2.fastq.gz
SRR19224060	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR192/060/SRR19224060/SRR19224060_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR192/060/SRR19224060/SRR19224060_2.fastq.gz
SRR19224061	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR192/061/SRR19224061/SRR19224061_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR192/061/SRR19224061/SRR19224061_2.fastq.gz
SRR19224062	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR192/062/SRR19224062/SRR19224062_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR192/062/SRR19224062/SRR19224062_2.fastq.gz
SRR19224103	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR192/003/SRR19224103/SRR19224103_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR192/003/SRR19224103/SRR19224103_2.fastq.gz
SRR19224121	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR192/021/SRR19224121/SRR19224121_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR192/021/SRR19224121/SRR19224121_2.fastq.gz
SRR19224122	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR192/022/SRR19224122/SRR19224122_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR192/022/SRR19224122/SRR19224122_2.fastq.gz
SRR19224123	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR192/023/SRR19224123/SRR19224123_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR192/023/SRR19224123/SRR19224123_2.fastq.gz
SRR19224125	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR192/025/SRR19224125/SRR19224125_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR192/025/SRR19224125/SRR19224125_2.fastq.gz
SRR19224198	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR192/098/SRR19224198/SRR19224198_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR192/098/SRR19224198/SRR19224198_2.fastq.gz
SRR19406414	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/014/SRR19406414/SRR19406414_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/014/SRR19406414/SRR19406414_2.fastq.gz
SRR19551544	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR195/044/SRR19551544/SRR19551544_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR195/044/SRR19551544/SRR19551544_2.fastq.gz
SRR19551568	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR195/068/SRR19551568/SRR19551568_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR195/068/SRR19551568/SRR19551568_2.fastq.gz
SRR19586218	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR195/018/SRR19586218/SRR19586218_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR195/018/SRR19586218/SRR19586218_2.fastq.gz
SRR19586219	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR195/019/SRR19586219/SRR19586219_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR195/019/SRR19586219/SRR19586219_2.fastq.gz
SRR19586220	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR195/020/SRR19586220/SRR19586220_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR195/020/SRR19586220/SRR19586220_2.fastq.gz
SRR19586282	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR195/082/SRR19586282/SRR19586282_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR195/082/SRR19586282/SRR19586282_2.fastq.gz
SRR19586283	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR195/083/SRR19586283/SRR19586283_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR195/083/SRR19586283/SRR19586283_2.fastq.gz
SRR19586287	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR195/087/SRR19586287/SRR19586287_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR195/087/SRR19586287/SRR19586287_2.fastq.gz
SRR19586288	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR195/088/SRR19586288/SRR19586288_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR195/088/SRR19586288/SRR19586288_2.fastq.gz
SRR19586294	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR195/094/SRR19586294/SRR19586294_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR195/094/SRR19586294/SRR19586294_2.fastq.gz
SRR19586296	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR195/096/SRR19586296/SRR19586296_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR195/096/SRR19586296/SRR19586296_2.fastq.gz
SRR19586297	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR195/097/SRR19586297/SRR19586297_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR195/097/SRR19586297/SRR19586297_2.fastq.gz
