biosample_acc	cntnm	pb	culprit	geo_loc_name	cntry
SAMN02345444	USA:NM_2012.4	y	n	USA:NM	USA
SAMN02345448	USA:NM_2012.5	y	n	USA:NM	USA
SAMN02345451	USA:NM_2012.6	y	n	USA:NM	USA
SAMN02345589	USA:PA_2012.1	y	n	USA:PA	USA
SAMN02345100	Mexico_2011.1	y	n	Mexico	Mexico
SAMN02678704	USA:WI_2009.1	y	n	USA:WI	USA
SAMN02678705	USA:CO_2009.1	y	n	USA:CO	USA
SAMN02678706	USA:TX_2009.1	y	n	USA:TX	USA
SAMN02678707	USA_2009.1	y	n	USA	USA
SAMN02698336	India_2013.1	y	n	India	India
SAMN02345464	USA:NM_2012.7	y	n	USA:NM	USA
SAMN02345461	USA:NM_2012.8	y	n	USA:NM	USA
SAMN02345459	USA:NM_2012.9	y	n	USA:NM	USA
SAMN02345457	USA:NM_2012.10	y	n	USA:NM	USA
SAMN02345456	USA:NM_2012.11	y	n	USA:NM	USA
SAMN02345458	USA:NM_2012.12	y	n	USA:NM	USA
SAMN02345453	USA:NM_2012.13	y	n	USA:NM	USA
SAMN02847395	Mexico_2012.1	y	n	Mexico	Mexico
SAMN02698341	USA:MI_2013.1	y	n	USA:MI	USA
SAMN02918765	Brazil_2010.1	y	n	Brazil	Brazil
SAMN02845930	USA:AR_2007.1	y	n	USA:AR	USA
SAMN02846039	Mexico_2007.1	y	n	Mexico	Mexico
SAMN02845929	USA:AR_2007.2	y	n	USA:AR	USA
SAMN02845928	USA:AR_2007.3	y	n	USA:AR	USA
SAMN02846038	Mexico_2007.2	y	n	Mexico	Mexico
SAMN02843818	Indonesia_2003.1	y	n	Indonesia	Indonesia
SAMN03959413	India_2015.1	y	n	India	India
SAMN03959414	India_2015.2	y	n	India	India
SAMN02846570	NULL_.1	y	n	NULL	NULL
SAMN04221375	Argentina_.1	y	n	Argentina	Argentina
SAMN02847531	USA:NM_2012.14	y	n	USA:NM	USA
SAMN02846330	USA:GA_2009.1	y	n	USA:GA	USA
SAMN02846331	USA:GA_2009.2	y	n	USA:GA	USA
SAMN02846332	USA:GA_2009.3	y	n	USA:GA	USA
SAMN02846333	USA:GA_2009.4	y	n	USA:GA	USA
SAMN02846334	USA:GA_2009.5	y	n	USA:GA	USA
SAMN02846335	USA:GA_2009.6	y	n	USA:GA	USA
SAMN02846336	USA:GA_2009.7	y	n	USA:GA	USA
SAMN02846337	USA:GA_2009.8	y	n	USA:GA	USA
SAMN02846343	USA_2009.2	y	n	USA	USA
SAMN02846344	USA_2009.3	y	n	USA	USA
SAMN04932254	China_.1	y	n	China	China
SAMN04932251	China_.2	y	n	China	China
SAMN05278307	Philippines_2016.1	y	n	Philippines	Philippines
SAMN05278308	Philippines_2016.2	y	n	Philippines	Philippines
SAMN02709278	USA:NM_2012.15	y	n	USA:NM	USA
SAMN02846279	USA:NM_2012.16	y	n	USA:NM	USA
SAMN02846278	USA:NM_2012.17	y	n	USA:NM	USA
SAMN02846280	USA:NM_2012.18	y	n	USA:NM	USA
SAMN09462155	India_.1	y	n	India	India
SAMN09462156	India_.2	y	n	India	India
SAMN09839337	Mexico_2018.1	y	n	Mexico	Mexico
SAMN09839333	Mexico_2018.2	y	n	Mexico	Mexico
SAMN13928007	India_2020.1	y	n	India	India
SAMN13928166	India_2020.2	y	n	India	India
SAMN13928222	India_2020.3	y	n	India	India
SAMN16227082	USA:GA_2020.1	y	n	USA:GA	USA
SAMN17171027	Iraq_2020.1	y	n	Iraq	Iraq
SAMN17176716	Iraq_2020.2	y	n	Iraq	Iraq
SAMN02352699	USA: KY_2010.1	n	y	Culprit!	USA
parr	Parr!	n	n	Parr!	Parr!
